	mean	sd	0.601238	0.000000	0.597824	0.000000	0.494029	0.000000	0.569588	0.000000	0.575326	0.000000	0.549466	0.000000	0.593527	0.000000	0.597824	0.000000	0.604950	0.000000	0.608460	0.000000	0.597481	0.000000	0.617420	0.000000	0.564647	0.000000	0.622429	0.000000	0.584866	0.000000	0.551747	0.000000
simple	0.774313	0.053468	0.800039	0.000000	0.770953	0.000000	0.650880	0.000000	0.660057	0.000000	0.800039	0.000000	0.769594	0.000000	0.747578	0.000000	0.776071	0.000000	0.800039	0.000000	0.776071	0.000000	0.857743	0.000000	0.770953	0.000000	0.747578	0.000000	0.828951	0.000000	0.800039	0.000000	0.832431	0.000000
pred	0.521085	0.059403	0.520550	0.000000	0.603617	0.000000	0.376721	0.000000	0.539991	0.000000	0.510477	0.000000	0.404578	0.000000	0.599018	0.000000	0.560186	0.000000	0.539865	0.000000	0.511353	0.000000	0.501258	0.000000	0.559727	0.000000	0.479791	0.000000	0.559560	0.000000	0.560186	0.000000	0.510477	0.000000
adjunct	0.426390	0.038151	0.401639	0.000000	0.470883	0.000000	0.374960	0.000000	0.393917	0.000000	0.343363	0.000000	0.414878	0.000000	0.442865	0.000000	0.416197	0.000000	0.425221	0.000000	0.429322	0.000000	0.472330	0.000000	0.436506	0.000000	0.446192	0.000000	0.504264	0.000000	0.446192	0.000000	0.403509	0.000000
argument types	0.561572	0.044792	0.600420	0.000000	0.590529	0.000000	0.444035	0.000000	0.538462	0.000000	0.512389	0.000000	0.520807	0.000000	0.574029	0.000000	0.584856	0.000000	0.596020	0.000000	0.577310	0.000000	0.538945	0.000000	0.614666	0.000000	0.537765	0.000000	0.621115	0.000000	0.595984	0.000000	0.537820	0.000000
arg altern	0.615967	0.042655	0.636796	0.000000	0.624186	0.000000	0.504821	0.000000	0.635149	0.000000	0.574502	0.000000	0.555774	0.000000	0.624186	0.000000	0.657826	0.000000	0.646753	0.000000	0.646753	0.000000	0.618382	0.000000	0.663461	0.000000	0.572700	0.000000	0.663821	0.000000	0.629434	0.000000	0.600928	0.000000
imperative	0.028668	0.138368	0.000000	1.000000	0.000000	1.000000	-0.254824	0.424114	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.356753	0.254981	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.356753	0.254981
bind	0.522986	0.088989	0.593393	0.000000	0.551746	0.000000	0.197836	0.029619	0.533097	0.000000	0.552563	0.000000	0.536013	0.000000	0.579522	0.000000	0.554392	0.000000	0.539152	0.000000	0.597249	0.000000	0.552563	0.000000	0.534043	0.000000	0.496586	0.000000	0.536013	0.000000	0.536013	0.000000	0.477602	0.000000
question	0.331464	0.044109	0.344052	0.000000	0.344335	0.000000	0.280026	0.000023	0.295925	0.000007	0.334193	0.000000	0.344993	0.000000	0.344335	0.000000	0.357627	0.000000	0.383752	0.000000	0.358090	0.000000	0.298168	0.000006	0.396341	0.000000	0.295925	0.000007	0.383752	0.000000	0.324688	0.000001	0.217218	0.001125
comp clause	0.566556	0.045035	0.613516	0.000000	0.600888	0.000000	0.513879	0.000000	0.554168	0.000000	0.583167	0.000000	0.486776	0.000000	0.678344	0.000000	0.594704	0.000000	0.540820	0.000000	0.583167	0.000000	0.540820	0.000000	0.593924	0.000000	0.528822	0.000000	0.527807	0.000000	0.583167	0.000000	0.540920	0.000000
aux	0.463541	0.028995	0.487905	0.000000	0.461241	0.000000	0.442918	0.000000	0.432255	0.000000	0.479090	0.000000	0.443580	0.000000	0.541173	0.000000	0.452674	0.000000	0.498307	0.000000	0.461241	0.000000	0.472998	0.000000	0.444668	0.000000	0.479490	0.000000	0.447422	0.000000	0.457699	0.000000	0.413988	0.000000
to-VP	0.531429	0.046477	0.549313	0.000000	0.503107	0.000000	0.423939	0.000000	0.466837	0.000000	0.532206	0.000000	0.496550	0.000000	0.600885	0.000000	0.533697	0.000000	0.538475	0.000000	0.532327	0.000000	0.551174	0.000000	0.590154	0.000000	0.514573	0.000000	0.570460	0.000000	0.601115	0.000000	0.498049	0.000000
N, Adj	0.477117	0.056592	0.505741	0.000000	0.495123	0.000000	0.351452	0.000000	0.369651	0.000000	0.446847	0.000000	0.481838	0.000000	0.529674	0.000000	0.519178	0.000000	0.492799	0.000000	0.507218	0.000000	0.523845	0.000000	0.484290	0.000000	0.389303	0.000000	0.542721	0.000000	0.520428	0.000000	0.473762	0.000000
S-Syntax	0.393644	0.032447	0.401509	0.000000	0.447214	0.000000	0.408251	0.000000	0.388702	0.000000	0.393000	0.000000	0.349207	0.000000	0.419843	0.000000	0.399816	0.000000	0.409946	0.000000	0.434855	0.000000	0.388702	0.000000	0.397189	0.000000	0.378452	0.000000	0.411597	0.000000	0.362823	0.000000	0.307204	0.000000
Det	0.439951	0.039396	0.489614	0.000000	0.442691	0.000000	0.354367	0.000001	0.424134	0.000000	0.467723	0.000000	0.466554	0.000000	0.428965	0.000000	0.466177	0.000000	0.428965	0.000000	0.442691	0.000000	0.467723	0.000000	0.489068	0.000000	0.442556	0.000000	0.405123	0.000000	0.467723	0.000000	0.355138	0.000001
Violations	0.155126	0.052248	0.157651	0.056516	0.144693	0.080369	0.053780	0.517662	0.135655	0.101365	0.144693	0.080369	0.216309	0.008502	0.064649	0.436601	0.154303	0.062036	0.168191	0.041717	0.151030	0.067851	0.255891	0.001758	0.171888	0.037364	0.121630	0.142228	0.247824	0.002475	0.161078	0.051291	0.132754	0.108954
